Lake,Town,Observer,Date,Start,Stop,Adults,Chicks,SubAdults,Survey,Comments
Maidstone,Maidstone,Lee Stewart,7/19/2008,,,7,2,0,1,Lee Stewart saw the seven adults
Marshfield,Marshfield,,7/19/2008,,,0,0,0,1,one or two reported a week earlier by camp owner
Martin's,Peacham,,7/19/2008,,,3,0,2,1,"vol. watched takeover, chick survived"
May,Barton,,7/19/2008,,,2,0,0,1,may have seen second chick-unconfirmd
McConnell,Brighton,,7/19/2008,,,2,0,0,1,platform not used
Memphremagog ,Newport,,7/19/2008,,,13,0,1,1,no double counts
Metcalf,Fletcher,,7/19/2008,,,0,0,0,1,
Miles,Concord,,7/19/2008,,,4,1,0,1,
Miller,Strafford,Cynthia Crawford,7/19/2008,,,0,0,0,1,Cynthia Crawford- from shore w/ binoculars
Molly's Falls,Cabot,,7/19/2008,,,0,0,0,1,
Mollys,Cabot,,7/19/2008,,,2,2,0,1,
Moore,Concord,,7/19/2008,,,4,,,1,
Morey,Fairlee,,7/19/2008,,,1,0,0,1,
Mud (Peacham),Peacham,,7/19/2008,,,2,0,0,1,
Neal,Lunenburg,,7/19/2008,,,1,0,0,1,2nd bird reported occationally. Still the case 8-13
Nelson,Calais,,7/19/2008,,,3,,,1,
Newark,Newark,,7/19/2008,,,2,0,0,1,Hatched August 11th
Nichols,Woodbury,Janet Steward,7/22/2008,,,1,1,0,1,Janet Steward 7-22. Whitcomb saw 0 ch but there
Ninevah,Mount Holly,,7/19/2008,,,2,2,0,1,
No. 10 (Mirror),Calais,Maeve|Kim,7/19/2008,,,2,1,,1,"From Maeve, Kim, 2ad , 1ch. Debbie Haskins will take signs down"
North Springfield,Springfield,,7/19/2008,,,0,0,0,1,
Norton,Norton,,7/19/2008,,,8,0,0,1,"1 chick killed by platform intruder, 1 killed by eagle"
Notch,Ferdinand,,7/19/2008,,,1,0,0,1,
Nulhegan,Brighton,,7/19/2008,,,0,0,0,1,
Osmore,Peacham,,7/19/2008,,,2,0,0,1,park ranger agrees no chicks this year
Parker,Glover,,7/19/2008,,,0,0,0,1,"as of 7-18, may have seen one SA, betsy day 07/19, pat 1 ad at other time"
Peacham,Peacham,,7/19/2008,,,12,4,,1,"reported 11 ad, 4sa,  "
Pensioner,Charleston,Harke,7/19/2008,,,2,0,0,1,my observation. Harke saw 2 adults
Perch (Benson),Benson,,7/19/2008,,,0,0,0,1,
Pinneo,,,7/19/2008,,,0,0,0,1,
Quechee Gorge Dam,,,7/19/2008,,,0,0,0,1,
Rescue,Ludlow,,7/19/2008,,,2,,,1,
Salem,Derby,,7/19/2008,,,0,0,0,1,1 loon visits sometimes
Seymour,Morgan,Hazel Canby,7/19/2008,,,7,0,0,1,Hazel Canby counted 8 but chance of 1 double count
Shadow (Glover),Glover,,7/19/2008,,,0,0,0,1,
Sherman,Whitingham,Henry,7/20/2008,,,0,0,0,1,7/20 henry
Silver (Barnard),Barnard,,7/19/2008,,,1,0,0,1,
Silver (Leicester),Leicester,,7/19/2008,,,0,0,0,1,
Sodom,Calais,,7/19/2008,,,0,0,0,1,
Somerset,Somerset,,7/19/2008,,,9,4,0,1,could have been 10 ad
South (Eden),Eden,,7/19/2008,,,2,2,0,1,
South Bay ,,,7/19/2008,,,0,0,0,1,
Spectacle,Brighton,,7/19/2008,,,2,2,0,1,osprey sighting. Chicks still alive 8-11
St. Catherine,,,7/19/2008,,,0,0,3,1,
Stoughton,Weathersfield,,7/19/2008,,,0,0,0,1,
Stratton,Stratton,,7/19/2008,,,0,0,0,1,
Sunrise (Benson),Benson,,7/19/2008,,,0,0,0,1,
Sunset (Benson),Benson,,7/19/2008,,,0,0,0,1,
Taftsville Dam,,,7/19/2008,,,0,0,0,1,
Thurman Dix,Orange,,7/19/2008,,,2,0,0,1,
Toad,,,7/19/2008,,,0,0,0,1,
Turtle,Holland,,7/19/2008,,,0,0,0,1,
Wallace,Canaan,,7/19/2008,,,0,0,0,1,"3 adults, 0chicks seen almost daily. I visited aug. 14, no loons"
Wallingford,Shrewsbury,,7/28/2008,,,2,0,0,1,July 28th
Wapanacki,Wolcott,Gail Osherenko,7/19/2008,,,1,0,0,1,Gail Osherenko
Waterbury ,Waterbury,,7/19/2008,,,0,0,0,1,Tom & Liz lackey say 2 reported earleir
West Hill,Cabot,,7/19/2008,,,0,0,0,1,
West Mountain,Maidstone,,7/19/2008,,,1,0,0,1,3 seen by Nancy St. Amand 7-22 where is this from
Wheeler,Brunswick,,7/19/2008,,,0,0,0,1,
Willoughby,Westmore,,7/19/2008,,,1,0,0,1,volunteer saw them earlier and later in that week
Wolcott,,,7/19/2008,,,1,,,1,
Woodbury (Sabin),Calais,,7/19/2008,,,2,1,0,1,
Woodward,Plymouth,Susan Elliot,7/19/2008,,,2,0,0,1,Susan Elliot 2 and 0 as well
Wrightsville,East Montpelier,,7/19/2008,,,0,0,0,1,
Zack Woods,Hyde Park,,7/19/2008,,,2,1,0,1,
