Lake,Town,Observer,Date,Start,Stop,Adults,Chicks,SubAdults,Survey,Comments
Abenaki,Thetford,,7/18/2009,,,0,0,,1,
Arrowhead,Milton,,7/18/2009,,,0,0,,1,form?
Baker,Barton,,7/18/2009,,,3,2,,1,chicks hiding during survey
Bald Hill,Westmore,,7/18/2009,,,2,0,,1,nesting
Bean ,Sutton,,7/18/2009,,,2,0,,1,
Beaver,Holland,,7/18/2009,,,2,2,,1,
Berlin,Berlin,,7/18/2009,,,2,1,,1,possibly 3rd ad.
Bliss,Calais,,7/18/2009,,,0,0,,1,
Bomoseen,Castleton,,7/18/2009,,,0,0,0,1,north end only
Bourn,Sunderland,,7/18/2009,,,0,0,,1,
Branch,Sunderland,,7/18/2009,,,2,0,,1,
Brownington,Brownington,,7/18/2009,,,2,1,,1,
Carmi,Franklin,,7/18/2009,,,0,0,,1,18-Jul
Caspian,Greensboro,,7/18/2009,,,2,0,,1,
Center,Newark,,7/18/2009,,,2,0,,1,
Charleston ,,,7/18/2009,,,0,0,,1,
Chittenden,Chittenden,,7/18/2009,,,2,2,,1,7/
Clyde,Derby,,7/18/2009,,,0,0,,1,
Colchester,Colchester,,7/18/2009,,,0,0,,1,
Coles,Walden,,7/18/2009,,,2,1,,1,
Collins,Hyde Park,Peg,7/18/2009,11:00,,0,,,1,11 am peg
Crystal,Barton,,7/18/2009,,,2,0,,1,1 ad
Derby,Derby,,7/18/2009,,,2,0,,1,
Dog (Valley),Woodbury,,7/18/2009,,,0,0,,1,
Dunmore,,,7/18/2009,,,2,0,,1,
East Long,Woodbury,,7/18/2009,,,2,2,,1,
Echo (Charleston),Charleston,,7/18/2009,,,3,0,,1,
Eden,Eden,,7/18/2009,,,2,1,,1,1 chick disappeared 7/12
Elligo,Greensboro,,7/18/2009,,,2,2,,1,
Elmore,Elmore,,7/18/2009,,,2,0,,1,craig provost 1 ad. 7/19; possibly 3rd ad. But 40 min. between sightings
Ewell,Peacham,,7/18/2009,,,3,0,,1,
Fairlee,Fairlee,Marcus White,7/18/2009,,,2,0,,1,2 ad marcus white
Flagg,Wheelock,,7/18/2009,,,2,0,,1,
Forest,Averill,Eric,7/18/2009,,,1,1,,1,eric
Fosters,Peacham,,7/18/2009,,,2,2,,1,
Glen,Castleton,,7/18/2009,,,0,0,,1,
Great Averill,Norton,Eric,7/18/2009,,,4,2,,1,eric
Great Hosmer,Craftsbury,,7/18/2009,,,3,1,,1,counted 4 total? Chick?
Green River,Hyde Park,,7/18/2009,,,6,0,,1,
Groton ,Groton,,7/17/2009,19:00,,4,1,,1,7/17/09 19:00
Grout,Stratton,Mary,7/18/2009,,,2,0,,1,mary 1 ad 7/18 all other counts in area on 7/19
Halfmoon,Hubbardton,,7/18/2009,,,0,0,,1,
Halls,Newbury,,7/18/2009,,,0,0,,1,
Hardwick,Hardwick,Eric,7/18/2009,17:00,,0,0,,1,5 pm eric
Hardwood,Elmore,,7/18/2009,,,0,0,1,1,
Harriman,Whitingham,,7/18/2009,,,2,0,,1,
Hartwell,Albany,,7/18/2009,,,0,0,,1,
Harvey's,Barnet,,7/18/2009,,,2,0,,1,
Hinkum,Sudbury,,7/18/2009,,,0,0,,1,sue wetmore?
Holland,Holland,,7/18/2009,,,5,2,,1,
Island ,Brighton,,7/18/2009,,,3,1,,1,anne cummings 11 am 2 ad 1 ch
Jobs,Westmore,,7/18/2009,,,0,0,,1,
Joe's,Danville,,7/18/2009,,,5,2,,1,
Keiser ,Danville,,7/18/2009,,,1,1,,1,
Kent,Sherburne,,7/18/2009,,,2,0,,1,
Kettle,Groton,,7/18/2009,,,4,1,,1,
Knapp Brook 1,Cavendish,,7/18/2009,,,0,,,1,
Knapp Brook 2,Cavendish,,7/18/2009,,,0,,,1,
Little Averill,Averill,,7/18/2009,,,4,0,,1,
Little Elmore,Elmore,,7/18/2009,,,0,0,,1,
Little Hosmer,Craftsbury,,7/18/2009,,,2,1,,1,
Little Rock,Wallingford,Sue Elliot,7/17/2009,,,1,,,1,7/17/2009 sue elliott
Little Salem,Derby,Susay Talor,7/18/2009,,,0,0,,1,susan taylor
Long (Greensboro),Greensboro,,7/18/2009,,,2,0,,1,
Long (Westmore),Westmore,,7/18/2009,,,2,2,,1,form?
Lowell,Londonderry,,7/18/2009,,,3,0,,1,
Lower Symes,Ryegate,Eric,7/18/2009,,,2,1,,1,eric
Lyford,Walden,Johnson,7/18/2009,,,2,0,,1,johnson
Maidstone,Maidstone,,7/18/2009,,,5,3,,1,
Marshfield,Marshfield,,7/18/2009,,,1,0,,1,
Martin's,Peacham,,7/18/2009,,,2,2,,1,
May,Barton,,7/18/2009,,,5,0,,1,
McConnell,Brighton,,7/18/2009,,,4,0,,1,
Memphremagog ,Newport,,7/18/2009,,,11,,2,1,6 ad
Metcalf,Fletcher,,7/18/2009,,,1,0,,1,
Miles,Concord,,7/18/2009,,,2,1,,1,
Molly's Falls,Cabot,Johnson,7/18/2009,,,0,,,1,johnson
Mollys,Cabot,Mike Belding,7/18/2009,11:00,,4,1,,1,4 ad 1 ch. Mike belding 11 am
Moore,Concord,Eric,7/18/2009,,,0,,,1,eric sw end
Morey,Fairlee,,7/18/2009,,,1,0,,1,
Morgan,Morgan,,7/18/2009,,,0,0,,1,
Mud (Hyde Park),Hyde Park,,7/18/2009,,,0,,,1,
Mud (Leicester),Leicester,,7/18/2009,,,1,2,,1,
Neal,Lunenburg,,7/18/2009,,,1,0,,1,
Nelson,Calais,,7/18/2009,,,1,0,,1,
Newark,Newark,,7/18/2009,,,2,2,,1,
