Lake,Town,Observer,Date,Start,Stop,Adults,Chicks,SubAdults,Survey,Comments
Ninevah,Mount Holly,,7/18/2009,,,2,2,,1,
No. 10 (Mirror),Calais,,7/18/2009,,,2,0,,1,
Norton,Norton,,7/18/2009,,,11,2,,1,8ad 2 ch 10-12 am
Notch,Ferdinand,,7/18/2009,,,1,0,,1,
Nulhegan,Brighton,,7/18/2009,,,1,0,,1,
Osmore,Peacham,,7/18/2009,,,1,0,,1,
Page,,,7/18/2009,,,0,0,,1,
Parker,Glover,,7/18/2009,,,0,0,,1,
Peacham,Peacham,,7/18/2009,,,5,0,,1,
Pensioner,Charleston,Eric,7/18/2009,,,2,0,,1,eric 1 ad obs.; other on nest
Rescue,Ludlow,,7/18/2009,,,1,0,,1,
Ricker,Groton,,7/18/2009,,,2,2,,1,
Round (Holland),Holland,,7/18/2009,,,0,0,,1,
Salem,Derby,,7/18/2009,,,0,0,,1,
Seymour,Morgan,,7/18/2009,,,4,1,,1,
Shadow (Concord),Concord,,7/18/2009,,,2,1,,1,2 ad. Eric
Shadow (Glover),Glover,Linda Roman,7/18/2009,,,1,0,,1,linda roman
Sherman,Whitingham,,7/18/2009,,,0,0,,1,
Silver (Leicester),Leicester,,7/18/2009,,,0,0,,1,
Somerset,Somerset,,7/18/2009,,,6,2,,1,
South (Eden),Eden,,7/18/2009,,,2,2,,1,
South Bay ,,,7/18/2009,,,4,0,,1,
Spectacle,Brighton,,7/18/2009,,,4,2,,1,4 and 1 anne cummings
Stiles,Waterford,,7/18/2009,,,2,0,,1,
Sugar Hill Res. (Goshen),Goshen,,7/18/2009,,,0,0,,1,
Sunset  (Marlboro),Marlboro,,7/18/2009,,,2,2,,1,not surveyed likely
Thurman Dix,Orange,,7/18/2009,,,1,1,,1,
Ticklenaked ,Ryegate,Eric,7/18/2009,,,1,0,,1,eric
Toad,,,7/18/2009,,,1,0,,1,
Turtle,Holland,,7/18/2009,,,0,0,,1,
Unknown,Norton,,7/18/2009,,,0,0,,1,
Wallace,Canaan,,7/18/2009,,,4,0,,1,
Wallingford,Shrewsbury,,7/18/2009,,,2,2,,1,
Wantastiquet ,Weston,,7/18/2009,,,2,1,,1,
Warden,Barnet,Eric,7/18/2009,,,2,0,,1,eric
Waterbury ,Waterbury,Liz and Jeff,7/18/2009,,,1,,,1,"check if 2 or 1, both liz and jeff counted 1"
West Mountain,Maidstone,,7/18/2009,,,1,1,,1,7/17 2 ad. 1 ch bruce
Wheeler,Brunswick,,7/18/2009,,,0,0,,1,
Wolcott,,,7/18/2009,,,2,1,,1,
Woodbury (Sabin),Calais,,7/18/2009,,,2,0,,1,
Woodward,Plymouth,,7/18/2009,,,2,0,,1,
Wrightsville,East Montpelier,,7/18/2009,,,0,,,1,
Zack Woods,Hyde Park,,7/18/2009,,,0,,,1,
